	DateTime	Comments	AIR_TEMPERATURE	AIR_TEMPERATURE_err	AIR_PRESSURE	AIR_PRESSURE_err	RAIN	RAIN_err	LIGHT_LX	LIGHT_LX_err	UV	UV_err	V1_state	V1_state_err	V2_state	V2_state_err	V3_state	V3_state_err	V4_state	V4_state_err	V5_state	V5_state_err	V6_state	V6_state_err	V7_state	V7_state_err	V8_state	V8_state_err	PUMP_PROBE_state	PUMP_PROBE_state_err	PUMP_VENTILATION_state	PUMP_VENTILATION_state_err	AIR_FLOW	AIR_FLOW_err	LATITUDE	LATITUDE_err	LONGITUDE	LONGITUDE_err	SPEED	SPEED_err	COURSE	COURSE_err	RELEY_1	RELEY_1_err	RELEY_2	RELEY_2_err	RELEY_3	RELEY_3_err	RELEY_4	RELEY_4_err	WATER_FLOW_1	WATER_FLOW_1_err	WATER_FLOW_2	WATER_FLOW_2_err	WATER_FLOW_3	WATER_FLOW_3_err	WATER_FLOW_4	WATER_FLOW_4_err	TEMP_DS1	TEMP_DS1_err	TEMP_DS2	TEMP_DS2_err	TEMP_DS3	TEMP_DS3_err	METEO_LEVEL	METEO_LEVEL_err	METEO_PRESS	METEO_PRESS_err	METEO_TIME	METEO_TIME_err	METEO_TEMP	METEO_TEMP_err	METEO_HUM	METEO_HUM_err	METEO_SOLAR	METEO_SOLAR_err	METEO_WIND_DIR	METEO_WIND_DIR_err	METEO_WIND_SPEED	METEO_WIND_SPEED_err	METEO_WIND_SPEED_MAX	METEO_WIND_SPEED_MAX_err	METEO_RAIN	METEO_RAIN_err	PICARRO_CO2	PICARRO_CO2_err	PICARRO_CH4	PICARRO_CH4_err	PICARRO_H2O	PICARRO_H2O_err	NX_B	NX_B_err	KFA_B	KFA_B_err	NX_G	NX_G_err	KFA_G	KFA_G_err	NX_R	NX_R_err	KFA_R	KFA_R_err
6186	2024-03-20 09:03:00		9.89318	0.0563532	95765.3	2.32472	0.0	0.0	18800.0	0.0	51.1136	0.321038	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.515682	0.00501056	51.8997	6.15054e-06	105.064	1.73968e-05	0.155813	0.0828671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.786	0.144314	5.814	0.0722957	0.0	0.0	0.0	0.0	2.3	0.0507718	0.702	0.0252982	29.458	0.0289828	2954.65	0.0881745	716.977	0.00419618	1710900000.0	5.91608															381.064	0.407435	12.3544	0.0527502	0.6802	0.0												
6187	2024-03-20 09:03:20		10.0042	0.0128786	95762.7	1.5793	0.0	0.0	18800.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.515111	0.00505525	51.8996	1.32608e-05	105.064	4.49868e-06	0.200467	0.122412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8	0.169837	5.842	0.0590292	0.0	0.0	0.0	0.0	2.262	0.0252982	0.69	0.0282843	29.548	0.0551362	2954.4	0.100705	716.983	0.00260585	1710900000.0	6.20484															385.481		12.2634		0.6802													
6188	2024-03-20 09:03:40		9.91955	0.0399392	95761.8	2.02407	0.0	0.0	18800.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.515227	0.00505258	51.8996	1.19809e-05	105.064	1.57184e-05	0.2855	0.0961665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.641	0.165761	5.883	0.0411096	0.0	0.0	0.0	0.0	2.256	0.0189737	0.69	0.04	29.622	0.0434102	2954.28	0.107374	716.983	0.00568724	1710900000.0	5.91608			85.7		247.87		173.0		0.0		0.0		0.0		389.175		12.3057		0.6802													
6189	2024-03-20 09:04:00		9.81523	0.0631163	95765.2	1.75854	0.0	0.0	18800.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.517273	0.00450511	51.8996	5.35641e-06	105.064	6.9615e-06	0.171	0.0750271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.626	0.119462	5.87	9.36222e-16	0.0	0.0	0.0	0.0	2.232	0.0289828	0.666	0.0309839	29.713	0.0442342	2954.0	0.181176	716.982	0.0073953	1710900000.0	6.20484															389.999		12.3057		0.6802													
6190	2024-03-20 09:04:20		9.57311	0.0310295	95765.6	1.24207	0.0	0.0	18800.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.517778	0.00420437	51.8996	2.58482e-06	105.064	3.37639e-06	0.118667	0.071417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.816	0.156574	5.87	9.36222e-16	0.0	0.0	0.0	0.0	2.25	0.0282843	0.666	0.0309839	29.792	0.056921	2954.07	0.085835	716.97	0.00325396	1710900000.0	5.33854															387.162	2.12726	12.3209	0.0195869	0.6802	0.0												
6191	2024-03-20 09:04:40		9.59	0.0155519	95766.4	1.49709	0.0	0.0	18800.0	0.0	52.4444	0.545875	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518182	0.00390154	51.8996	1.46974e-05	105.064	1.69775e-06	0.164706	0.105765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.786	0.114134	5.883	0.0411096	0.0	0.0	0.0	0.0	2.286	0.0309839	0.696	0.0189737	29.87	3.74489e-15	2953.7	0.11481	716.975	0.00729122	1710900000.0	6.20484															383.222		12.2813		0.6802													
6192	2024-03-20 09:05:00		9.63341	0.0118013	95766.1	1.97755	0.0	0.0	18800.0	0.0	53.0455	0.210707	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518864	0.00321038	51.8996	2.14098e-05	105.064	5.53173e-06	0.306467	0.184145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.894	0.137937	5.896	0.0548128	0.0	0.0	0.0	0.0	2.244	0.0189737	0.672	0.0289828	29.898	0.0361478	2953.93	0.105049	716.951	0.00498527	1710900000.0	6.11545															381.615	0.565332	12.2569	0.00190919	0.6711	0.0												
6193	2024-03-20 09:05:20		9.3625	0.164389	95767.4	1.62909	0.0	0.0	18800.0	0.0	53.0455	0.210707	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.52	0.0	51.8997	5.77372e-05	105.064	1.96588e-05	0.377813	0.323516	21.6863	86.745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.893	0.151147	5.8	0.0737865	0.0	0.0	0.0	0.0	2.22	0.0316228	0.653	0.0442342	29.97	0.0316228	2953.62	0.103567	716.957	0.00528114	1710900000.0	6.20484															378.401		12.325		0.6711													
6194	2024-03-20 09:05:40		8.92267	0.109304	95769.7	1.64569	0.0	0.0	18800.0	0.0	53.5556	0.502519	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.519091	0.00290803	51.8998	2.54184e-05	105.064	8.95707e-06	0.492188	0.263784	44.2381	120.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.052	0.0908968	5.8	0.0737865	0.0	0.0	0.0	0.0	2.226	0.0309839	0.648	0.0289828	29.994	0.0340588	2953.54	0.111935	716.949	0.003828	1710900000.0	5.33854			85.1		251.38		173.0		0.0		0.4		0.0		371.432	2.20467	12.4779	0.0640281	0.669967	0.000981495												
6195	2024-03-20 09:06:00		8.58614	0.051	95769.5	1.69348	0.0	0.0	18800.0	0.0	54.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.518444	0.00366529	51.8997	2.11793e-05	105.064	1.3116e-05	0.105438	0.0403236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.838	0.186416	5.841	0.0864677	0.0	0.0	0.0	0.0	2.232	0.0289828	0.66	0.0316228	30.054	0.0340588	2953.11	0.141871	716.966	0.00861134	1710900000.0	5.91608															369.249		12.5494		0.6694													
